table_name,column_name,variable_type,column_description,required_flag
hive.cdo.fact_upi_transactions_snapshot_v3,amount,double,"The monetary value of each UPI transaction, stored as a double precision number. This column captures the transaction amount for both P2P (Person-to-Person) and P2M (Person-to-Merchant) payments and collections in the UPI system.",no
hive.cdo.fact_upi_transactions_snapshot_v3,app_resp_code,varchar,"Application-level response code generated during UPI transaction processing, used to identify transaction outcomes and errors when NPCI response codes are not available. This code helps determine transaction success/failure status and is used in error analysis and success rate calculations.",no
hive.cdo.fact_upi_transactions_snapshot_v3,category,varchar,"Technical UPI transaction category code that classifies payment flows by sender and receiver account types (VPA2ACCOUNT, VPA2VPA for person-to-person transfers, VPA2MERCHANT for person-to-merchant payments). This column is used to categorize transactions into business-friendly groupings like P2P and P2M for reporting and analysis purposes.",no
hive.cdo.fact_upi_transactions_snapshot_v3,customer_id_payer,varchar,Unique identifier for the customer who initiates or makes the payment in a UPI transaction. This field is used to track and analyze payer behavior and transaction patterns across different payment categories and success rates.,yes
hive.cdo.fact_upi_transactions_snapshot_v3,dl_last_updated,date,"A date field that tracks when each UPI transaction record was last updated in the data warehouse, used for filtering transactions to specific time periods and enabling incremental data processing in analytics workflows.",yes
hive.cdo.fact_upi_transactions_snapshot_v3,flow_category,varchar,"Categorizes UPI transactions by their flow type or initiation method (e.g., P2P, 3P QR, Paytm QR, Intent, P2M Collect, Mandate_Online, etc.), which is used to group transactions into broader business segments like peer-to-peer payments, scan-and-pay, online transactions, and on-us transactions for performance analysis.",no
hive.cdo.fact_upi_transactions_snapshot_v3,npci_resp_code,varchar,"Response code returned by NPCI (National Payments Corporation of India) for UPI transactions, used as a fallback error identifier when application response codes are unavailable. This code helps categorize transaction outcomes and calculate success rates in UPI payment processing.",no
hive.cdo.fact_upi_transactions_snapshot_v3,payee_handle,varchar,"The UPI handle or Virtual Payment Address (VPA) of the transaction recipient/payee, used to categorize transactions by payment service provider (particularly identifying Paytm vs other PSPs) and analyze success rates in UPI transaction processing.",no
hive.cdo.fact_upi_transactions_snapshot_v3,payer_bank_name,varchar,This column stores the name of the bank associated with the payer (person making the payment) in UPI transactions. It provides banking institution context for transaction analysis and helps identify the originating bank for payment flows.,no
hive.cdo.fact_upi_transactions_snapshot_v3,payer_handle,varchar,The handle or identifier of the payment service provider (PSP) used by the payer in UPI transactions. This column is used to categorize transactions and analyze payment patterns based on whether the payer is using Paytm or other PSP services.,no
hive.cdo.fact_upi_transactions_snapshot_v3,purpose_code,varchar,"A varchar field that stores standardized purpose codes indicating the reason or category of UPI transactions, likely following NPCI guidelines for transaction classification. This column is available for transaction categorization and reporting purposes in the UPI transactions dataset.",no
hive.cdo.fact_upi_transactions_snapshot_v3,status,varchar,"Represents the final outcome status of UPI transactions, used to calculate success rates by filtering for 'DEEMED' and 'SUCCESS' statuses against total transaction volume. This varchar field captures the completion state of each transaction in the UPI payment processing system.",no
hive.cdo.fact_upi_transactions_snapshot_v3,transaction_date_key,date,"A date field representing the transaction date used as the primary time dimension for analyzing UPI transaction patterns, success rates, and trends across different time periods (daily, monthly) in P2P and P2M transaction reporting.",yes
hive.cdo.fact_upi_transactions_snapshot_v3,transaction_type,varchar,"Categorizes UPI transactions by their operational type, distinguishing between payment transactions ('PAY') and collection/request transactions ('COLLECT'). This field is essential for analyzing transaction success rates and operational metrics across different UPI transaction flows.",no
hive.cdo.fact_upi_transactions_snapshot_v3,txn_id,varchar,"Unique identifier for each UPI transaction record, used as the primary key for counting and aggregating transaction volumes and calculating success rates across different payment flows and categories.",yes
hive.cdo.fact_upi_transactions_snapshot_v3,txn_timestamp,timestamp(3),"Records the exact timestamp when the UPI transaction was initiated or processed, stored with millisecond precision. This field is essential for temporal analysis of transaction patterns and is used as the transaction creation time in success rate calculations across P2P and P2M payment flows.",yes
