term,type,definition,business_alias
SR,Metric / Calculated Field,"Success Rate calculated as the count of transactions with status 'DEEMED' or 'SUCCESS' divided by total transaction count, expressed as a decimal ratio.",Success Rate
UPI,Category,Unified Payments Interface - a real-time payment system that facilitates inter-bank transactions through mobile platforms.,Unified Payments Interface
P2P,Category,Person-to-Person transactions including VPA2ACCOUNT and VPA2VPA transaction types in the flow category.,Person-to-Person
SnP,Category,Scan and Pay transactions including 3P QR and Paytm QR flow categories.,Scan and Pay
Online,Category,"Online transactions including Intent, P2M Collect, and Mandate_Online flow categories.",
Onus,Category,On-us transactions including Onus_ExcMandates and Mandate_Onus flow categories processed within the same payment system.,On-us
final_category,Dimension,"Categorized grouping of UPI transaction flow categories into P2P, SnP, Online, Onus, or Others based on flow_category values.",
flow_category,Dimension,"Original transaction flow classification including P2P, 3P QR, Paytm QR, Intent, P2M Collect, Mandate_Online, Onus_ExcMandates, and Mandate_Onus.",Flow Category
txn_id,Metric,Unique transaction identifier used for counting total transactions in success rate calculations.,Transaction ID
status,Dimension,"Transaction processing status including DEEMED, SUCCESS, and other failure statuses used to determine transaction outcomes.",Transaction Status
Day,Dimension,Day component extracted from the day_id (transaction_date_key) used for temporal analysis of success rates.,
P2M,Category,Person-to-Merchant transactions including VPA2MERCHANT transaction category,Person-to-Merchant
VPA2ACCOUNT,Category,UPI transaction type where payment is made from Virtual Payment Address to bank account,
VPA2VPA,Category,UPI transaction type where payment is made between Virtual Payment Addresses,
VPA2MERCHANT,Category,UPI transaction type where payment is made from Virtual Payment Address to merchant account,
SUCCESS,Category,Transaction status indicating the UPI transaction was completed successfully without any errors.,
DEEMED,Category,A transaction status indicating the transaction is considered successful or completed under specific conditions.,
Handle SR_511,Category,A specific service request category related to UPI handle success rate analysis and monitoring.,
payer_handle,Metric,The UPI handle identifier of the transaction initiator or payer in a UPI transaction.,Payer Handle
purpose_code,Category,Code identifying the purpose or reason for the UPI transaction,Purpose Code
payee_handle,Category,UPI handle or identifier of the transaction payee,Payee Handle
