table_name,table_description,refresh_frequency,vertical,partition_column,remarks,relationship_context
hive.team_measurement.banner_campaigns_customer_v1,"data_description: This table contains customer-level banner campaign interaction data with detailed metrics on impressions, clicks, unique impressions, unique clicks, and conversion events. The table structure includes campaign identification fields (banner_id, measurement_label, feature_group), placement context (storefront_name, view_type, view_name, priority), and aggregated performance metrics. It captures both exposure metrics (impressions/clicks) and outcome metrics (conversions) at a granular level, allowing for comprehensive campaign performance analysis. The data appears to be aggregated at the customer and campaign level with daily partitioning.

business_description: This table serves as the primary data source for measuring and optimizing UPI growth marketing campaigns. It supports campaign performance analysis by tracking how different banner placements across various storefronts and views drive user engagement and conversions to UPI features like bank linking, card linking, UPI Lite activation, and statement downloads. Business teams use this data to evaluate campaign ROI, optimize banner placement strategies, measure feature adoption rates, and make data-driven decisions about marketing spend allocation. The table enables detailed funnel analysis from impression to conversion, supporting growth marketing initiatives aimed at expanding UPI user base and feature utilization.",Daily,UPI,dt,"Table appears to be a versioned view (v1) suggesting it may be subject to schema evolution. The connection to multiple UPI feature tables in the query context indicates this is likely a derived/aggregated table rather than a raw event table. Column information is not provided, but based on the SQL context, it likely contains standard campaign tracking dimensions and metrics.; The table is version 1 (v1) indicating it may be subject to schema evolution. The SQL context shows complex conversion logic with multiple UPI features being tracked, suggesting this is a sophisticated campaign measurement system. The date range logic in queries indicates this table supports both historical analysis and near real-time campaign monitoring.","This table likely joins with campaign configuration tables using banner_id, customer dimension tables using customer_id, and various UPI feature adoption tables (bank_link, cc_all_linkages, lite_active, UPI_FeatureAdoption_Olap_Daily_v3) for conversion attribution. It serves as a bridge between campaign exposure data and business outcome metrics, enabling end-to-end campaign performance measurement. The table is commonly used in conjunction with customer segmentation tables and UPI transaction tables to provide comprehensive growth analytics and support campaign optimization workflows.; This table serves as a central hub for banner campaign analysis, connecting to multiple UPI feature tables including bank_link, mapper, cc_all_linkages, lite_active, upi_statement_download_V1, widget tables, spend_analytics, and lite_auto_topup. It's likely joined with these tables to track conversion from banner exposure to actual feature adoption. The table probably relates to customer master tables for demographic analysis and campaign targeting tables for attribution. It may also connect to broader marketing measurement frameworks and A/B testing platforms for comprehensive campaign evaluation."
hive.enterprise.upi_featureadoption_olap_daily_v3,"data_description: This table contains daily aggregated data for UPI feature adoption tracking and campaign performance measurement. It stores metrics related to various UPI features including bank linking, RuPay credit card linking, UPI Lite activation, UPI statement downloads, and receive money widget usage. The table includes campaign-related dimensions such as measurement labels, feature groups, banner IDs, storefront names, view types, and priorities, along with corresponding metrics like impressions, clicks, unique impressions, unique clicks, and conversion data. The data structure supports OLAP operations for analytical reporting and is partitioned by date for efficient querying.

business_description: This table serves as the foundation for UPI growth campaign tracking and feature adoption analysis. It enables business teams to measure the effectiveness of marketing campaigns promoting various UPI features, track user engagement through impression and click metrics, and analyze conversion rates for different UPI functionalities. The table supports campaign lifecycle management (CLM) by providing comprehensive visibility into how different campaign elements (banners, storefronts, views) perform in driving UPI feature adoption. Business stakeholders use this data to optimize marketing spend, improve campaign targeting, measure feature adoption success, and make data-driven decisions about UPI product development and marketing strategies.",Daily,UPI,dt,"This is version 3 of the UPI feature adoption OLAP table, suggesting it has undergone iterations for improvement. The table includes sophisticated campaign type categorization logic that maps various UPI campaign types to standardized feature groups, enabling consistent reporting across different UPI services.; This is version 3 of the UPI feature adoption OLAP table, suggesting iterative improvements in schema design. The table appears to be optimized for analytical queries and dashboard consumption rather than transactional operations. The SQL context shows complex feature tracking across multiple source tables, indicating sophisticated data aggregation processes.; This is version 3 of the UPI feature adoption OLAP table, suggesting it has evolved over time with enhanced capabilities. The table supports complex campaign attribution and feature adoption tracking with multiple dimensions for granular analysis. The SQL query shows integration with multiple source tables for comprehensive UPI feature tracking.","This table appears to be a central aggregation table that joins with multiple UPI-related source tables including hive.user_paytm_payments.bank_link, hive.user_paytm_payments.mapper, hive.user_paytm_payments.cc_all_linkages, and hive.user_paytm_payments.lite_active. It likely serves as a fact table in a star schema design, connecting to dimension tables for campaign attributes, customer data, and feature metadata. The table is commonly used in conjunction with campaign management systems and business intelligence tools for UPI growth analytics and performance reporting.; This table likely joins with customer dimension tables using customer_id, campaign management tables using campaign_id, and other UPI transaction or user behavior tables. It serves as a central fact table for UPI campaign analytics and would typically be used alongside UPI transaction tables, user profile tables, and campaign configuration tables to provide comprehensive insights into UPI feature adoption and marketing campaign effectiveness.; This table aggregates data from multiple upstream tables including hive.user_paytm_payments.bank_link, hive.user_paytm_payments.mapper, hive.user_paytm_payments.cc_all_linkages, hive.user_paytm_payments.lite_active, hive.user_paytm_payments.upi_statement_download_V1, and widget-related tables. It serves as a consolidated view for UPI feature adoption metrics and is likely joined with user dimension tables for customer segmentation analysis. The table is primarily used in dashboard queries with date-based filtering and aggregations, making it a key component in the UPI analytics data pipeline."
hive.user_paytm_payments.check_balance,"data_description: The check_balance table contains UPI campaign tracking data focused on balance-related features and user engagement metrics. The table stores campaign performance data including customer interactions, campaign types, and conversion tracking over time. It includes fields for customer identification, campaign categorization (spanning various UPI features like Bank Linking, Mapper services, RuPay CC operations, UPI Lite, and balance-related functionalities), and temporal data for tracking campaign effectiveness. The table structure supports funnel analysis with metrics for campaign reach, impressions, clicks, and same-day conversions.

business_description: This table serves as a core component of UPI growth campaign analytics, specifically tracking balance-checking and related UPI feature adoption campaigns. It enables marketing teams to monitor campaign effectiveness across different UPI functionalities, measure user engagement at various funnel stages (sent notifications to actual conversions), and optimize campaign strategies for different UPI features. The table supports business decisions around feature promotion, user activation strategies, and campaign ROI analysis for UPI growth initiatives, particularly focusing on balance-related services and broader UPI ecosystem adoption.",Daily,UPI,dt,"The table_columns field is empty, which limits the ability to provide detailed structural analysis. The table appears to be part of a larger UPI feature tracking ecosystem based on the query context that includes multiple UPI-related tables.; The table columns information is empty in the provided input, but based on the SQL context, it likely contains customer_id and dt fields at minimum. The table is part of a larger ecosystem of UPI feature tracking tables used for comprehensive campaign analysis.; The table_columns field is empty, which limits the ability to provide detailed column-level analysis. The table appears to be part of a larger data ecosystem for UPI campaign tracking and is used in complex union queries with other UPI-related tables for comprehensive conversion analysis.; The table name ""check_balance"" seems specific to balance-checking functionality, but the SQL context suggests it contains broader UPI campaign data across multiple feature types. The empty table_columns field limits detailed structural analysis. The SQL query shows extensive campaign type categorization logic, indicating this table supports comprehensive UPI feature campaign tracking beyond just balance checking.","This table likely joins with other UPI campaign tables on campaign_id and customer_id fields. It probably relates to user behavior tables for conversion tracking, campaign configuration tables for campaign details, and customer profile tables for segmentation analysis. The dt (date) field enables time-series joins with other daily aggregated UPI metrics tables. It may also connect to UPI transaction tables to validate actual conversion behaviors and feature adoption rates post-campaign exposure.; This table is closely integrated with other UPI-related tables in the user_paytm_payments schema, including bank_link, mapper, cc_all_linkages, and lite_active tables. It's commonly used in union operations to create comprehensive views of UPI user engagement activities. The table likely joins with campaign and customer tables using customer_id as a common key, and is frequently used alongside CLM (Campaign Lifecycle Management) data to track conversion funnels from impressions to actual UPI feature usage.; This table is one of multiple tables in the user_paytm_payments schema used together for UPI feature adoption tracking. It is commonly joined or unioned with other feature tables like bank_link, mapper, cc_all_linkages, lite_active, upi_statement_download_V1, and widget_added_rec_money_ER_daily. The relationships are typically based on customer_id and date fields, enabling comprehensive analysis of user behavior across different UPI features within the same time periods.; This table is part of a comprehensive UPI tracking system that includes relationships with multiple other tables such as bank_link, mapper, cc_all_linkages, lite_active, upi_statement_download_V1, widget_added_rec_money_ER_daily, widget_added_snp_ER_daily, spend_analytics, and lite_auto_topup. The table likely joins with these tables on customer_id and dt fields for holistic UPI feature adoption analysis. It serves as one component in tracking various UPI features and is commonly used in UNION operations to aggregate different types of UPI user activities for campaign effectiveness measurement."
hive.user_paytm_payments.self_transfer,"data_description: The self_transfer table contains transactional and campaign interaction data related to UPI self-transfer operations. It stores customer interactions with UPI self-transfer campaigns including campaign metadata (campaign_id, campaign_type), user identifiers (customer_id), temporal information (dt for date partitioning), and campaign performance metrics. The table appears to track the complete funnel from campaign delivery through conversion, supporting various UPI feature campaigns like bank linking, mapper services, RuPay CC linking, UPI Lite activation, and other UPI-related features.

business_description: This table serves as a critical component for UPI growth campaign analysis and optimization. It enables business teams to track the effectiveness of different UPI self-transfer promotion campaigns, measure conversion rates, and analyze user engagement patterns. The data supports campaign performance reporting, ROI analysis for UPI feature adoption campaigns, and strategic decision-making for UPI product growth initiatives. It's used to generate insights on which campaign types drive the most user engagement and successful self-transfer transactions, helping optimize marketing spend and campaign targeting for UPI services.",Daily,UPI,dt,"The table appears to be part of a comprehensive UPI analytics ecosystem. While column details are not provided, the usage pattern in the SQL query suggests it follows standard UPI table structure with customer_id and dt fields. The table is specifically focused on self-transfer transactions, which is a subset of overall UPI transactions.; The table appears to be part of a comprehensive UPI campaign tracking system with detailed campaign type categorization. The SQL context shows sophisticated campaign type mapping suggesting this is a mature analytics table used for business intelligence and campaign optimization.; The table columns information is empty in the input, but based on the SQL context, it likely contains fields like customer_id, dt (date), and other transaction-related attributes. The table is part of a complex analytical query that unions multiple UPI-related datasets for comprehensive campaign tracking.","This table likely joins with other UPI campaign tables based on campaign_id and customer_id. It may relate to broader UPI transaction tables for conversion analysis, customer dimension tables for segmentation, and campaign master tables for campaign details. Common joins would be with UPI transaction tables to validate actual self-transfer completions, user profile tables for demographic analysis, and campaign configuration tables for detailed campaign metadata.; This table is closely related to other UPI ecosystem tables including hive.user_paytm_payments.bank_link, hive.user_paytm_payments.mapper, hive.user_paytm_payments.cc_all_linkages, and hive.user_paytm_payments.lite_active. It's commonly joined or unioned with these tables in campaign conversion analysis queries. The table shares common attributes like customer_id and dt (date) with other tables in the user_paytm_payments schema, enabling comprehensive user journey tracking across different UPI features. It's also used alongside featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3 for feature adoption analysis.; This table is part of the broader hive.user_paytm_payments schema ecosystem and is commonly used alongside other UPI feature tables including bank_link (bank linking events), mapper (UPI ID mapping), cc_all_linkages (credit card linkages), lite_active (UPI Lite activations), upi_statement_download_V1 (statement downloads), and widget_added_rec_money_ER_daily (widget additions). It's typically joined with these tables using customer_id and dt fields for comprehensive UPI feature adoption analysis and growth campaign tracking. The table serves as one component in measuring overall UPI ecosystem health and user engagement."
clm,"data_description: The CLM table contains campaign lifecycle management data tracking digital marketing campaign performance and user conversion metrics. It stores impression and click data along with conversion events across various UPI and payment-related features. The table includes campaign attributes like banner_id, storefront_name, view_type, view_name, priority, measurement_label, and feature_group, along with aggregated metrics for impressions, clicks, unique impressions, unique clicks, impressions_conversion, and clicks_conversion. The data structure supports tracking campaign effectiveness across different touchpoints and user journey stages.

business_description: This table supports UPI growth campaign tracking and marketing analytics for digital payment services. It enables measurement of campaign ROI by tracking user interactions from initial impressions through to conversions across multiple UPI features including bank linking, RuPay credit card linking, UPI Lite activation, statement downloads, and receive money widgets. Business teams use this data to optimize campaign performance, measure feature adoption rates, track user engagement across different storefronts and view types, and make data-driven decisions about campaign prioritization and budget allocation for UPI growth initiatives.",Daily,UPI,dt,"The table appears to be an aggregated view combining campaign impression/click data with conversion events from multiple UPI feature tables. The SQL shows complex union operations tracking different conversion types, suggesting this is likely a derived table or view rather than a raw event table.","This table has relationships with multiple UPI feature tables including hive.user_paytm_payments.bank_link, hive.user_paytm_payments.mapper, hive.user_paytm_payments.cc_all_linkages, hive.user_paytm_payments.lite_active, and featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3. It serves as a central aggregation point for campaign performance data, joining campaign impression/click metrics with conversion events through customer_id matches. The table is commonly used in marketing analytics dashboards and is likely joined with customer dimension tables and other campaign metadata tables for comprehensive campaign analysis."
hive.user_paytm_payments.lite_auto_topup,"data_description: This table contains data related to UPI Lite auto top-up functionality, likely storing information about automatic wallet top-up transactions, configurations, or events. Based on the naming convention and context within the UPI ecosystem, it probably includes customer identifiers, transaction amounts, top-up triggers, timestamps, and status information for automated wallet funding operations. The table structure would typically include fields for tracking when auto top-ups are configured, executed, or modified by users.

business_description: This table supports UPI Lite wallet management operations by tracking automatic top-up behaviors and configurations. It enables business analysts to monitor user engagement with convenience features like auto top-up, measure adoption rates of wallet automation features, and understand user preferences for maintaining wallet balances. The data supports growth campaign tracking by providing insights into feature utilization patterns, helping optimize user experience for seamless payment flows, and identifying opportunities to promote wallet-based payment adoption among UPI users.",Daily,UPI,dt,"The table appears to have limited column information provided, but the SQL context suggests it contains customer_id and lite_dt fields. It's being used as part of a larger conversion tracking framework that combines multiple UPI-related activities including bank linking, credit card linking, and UPI statement downloads.; This table is part of a comprehensive UPI feature tracking ecosystem that includes multiple payment-related features. The table appears to be used specifically for measuring user adoption of convenience features that enhance the UPI payment experience. No column details were provided, but based on usage patterns, it likely follows similar schema conventions as other tables in the user_paytm_payments schema.; The table appears to be part of a comprehensive UPI feature tracking ecosystem. Column information is not provided, but the table name suggests it's specifically focused on UPI Lite auto top-up functionality, which is a key convenience feature for wallet management.; Table columns information is empty in the provided input, making it difficult to provide detailed column-level analysis. The table appears to be specifically focused on UPI Lite Auto Top-up functionality within the broader UPI ecosystem.","This table is commonly joined with other UPI-related tables in union queries for comprehensive conversion tracking. It relates to bank_link (bank linking activities), cc_all_linkages (credit card linkages), lite_active (UPI Lite activations), and mapper tables. The table is typically used in campaign measurement contexts where UPI Lite activation events serve as conversion metrics alongside other UPI engagement activities. It's part of a broader ecosystem of tables that track the complete UPI user journey from initial engagement to feature adoption.; This table is likely joined with campaign tracking tables using campaign_id and customer_id fields. It appears to be part of a larger UPI analytics ecosystem where it connects with user profile tables, transaction tables, and campaign performance tables. The table is commonly used in conjunction with other UPI tables to create comprehensive campaign performance dashboards and is frequently aggregated by date (dt) and campaign dimensions for reporting purposes.; This table is part of the broader UPI payments ecosystem and likely joins with other tables in the hive.user_paytm_payments schema through customer_id fields. It relates to lite_active table for UPI Lite activations, bank_link for funding source connections, and mapper for customer mapping. The table is commonly used in UNION operations with other UPI feature tables to create comprehensive feature adoption reports, particularly for growth campaign analysis and user engagement tracking across various UPI functionalities.; This table is commonly joined with other UPI feature tables in the user_paytm_payments schema including bank_link, cc_all_linkages, lite_active, upi_statement_download_V1, widget tables, and spend_analytics. It's typically used in UNION operations to create comprehensive feature adoption reports across different UPI functionalities. The table relationships are primarily based on customer_id and date (dt) columns for tracking user journey across multiple UPI features. It's frequently used alongside campaign tracking data to measure the impact of growth initiatives on feature adoption."
hive.user_paytm_payments.mapper,"data_description: This is a UPI campaign mapping/reference table that stores campaign metadata and categorization information. The table contains campaign identifiers, campaign types, customer associations, and date information. It serves as a lookup table to map raw campaign type codes to business-friendly feature categories through complex categorization logic. The table structure supports campaign tracking with fields like customer_id, campaign_id, campaign_type, and date (dt), enabling campaign performance analysis and funnel metrics calculation.

business_description: This table is used in UPI growth marketing operations to categorize and track various UPI feature adoption campaigns. It supports campaign performance dashboards by providing the mapping logic to group different campaign types into meaningful business categories such as Bank Linking, Mapper services, RuPay CC Linking, CC Spends, UPI Lite features, and various widget promotions. Business teams use this table to analyze campaign effectiveness across different UPI feature categories, track conversion funnels from impression to same-day conversions, and measure the success of growth initiatives targeting specific UPI functionalities.",Daily,UPI,dt,"The table appears to be incomplete in the column information provided, but the SQL context reveals it contains campaign mapping logic with extensive categorization rules. The query shows sophisticated campaign type transformation suggesting this is a critical reference table for UPI campaign analytics.; The table appears to be a foundational mapping table in the UPI ecosystem. Column details are not provided, but based on usage context, it likely contains customer_id and dt as core columns. The table is used alongside multiple other UPI feature tables in union operations for comprehensive feature adoption tracking.; Limited column information available, but the table appears to be a critical component in UPI growth campaign tracking. The SQL context suggests it's used as a reference table in complex queries that measure campaign performance and customer conversion metrics.; Table has empty column metadata provided, but based on SQL context, it contains at minimum customer_id and dt fields. Used as part of a larger customer activity union query for campaign tracking.","This table is part of a collection of payment-related tables used together in UNION operations to create comprehensive customer activity datasets. It commonly joins with tables like bank_link, cc_all_linkages, lite_active, upi_statement_download_V1, and widget tables. The relationship pattern shows it's used to aggregate different types of customer activities (Bank Linking, Mapper, RuPay CC Linking, UPI Lite Activation, etc.) into unified customer journey analysis. The table serves as one data source in multi-table customer activity tracking queries for growth campaign analytics.; This table serves as a mapping/reference table that's commonly joined with other UPI-related tables including hive.user_paytm_payments.bank_link, hive.user_paytm_payments.cc_all_linkages, hive.user_paytm_payments.lite_active, and featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3. It's typically used in UNION ALL operations to consolidate customer data across different UPI services and features, enabling comprehensive campaign performance analysis and customer journey tracking across the UPI ecosystem.; This table is closely related to other UPI feature tables in the user_paytm_payments schema including bank_link, cc_all_linkages, lite_active, upi_statement_download_V1, and widget_added_rec_money_ER_daily. It's commonly used in UNION ALL operations with these tables to create comprehensive UPI feature adoption reports. The table serves as a core component in multi-table joins for UPI growth analysis, with relationships typically established through customer_id and date-based filtering for time-series analysis.; This mapper table likely serves as a reference table that joins with campaign event tables, customer tables, and campaign performance metrics tables. It's commonly joined on campaign_id and customer_id fields to enrich raw campaign event data with business-friendly category mappings. The table enables aggregation and analysis across campaign categories rather than individual campaign types, making it essential for campaign performance dashboards and UPI growth analytics reporting."
hive.user_paytm_payments.bank_link,"data_description: The bank_link table contains campaign performance data for UPI (Unified Payments Interface) related initiatives, specifically focusing on bank account linking and various UPI feature adoption campaigns. The table stores metrics across different campaign types including bank linking campaigns (UPI_P2P_ADD_BANK_ACCOUNT, UPI_MULTI_BANK_ACCOUNT_LINKING), mobile mapper campaigns, RuPay credit card linking, UPI Lite activation, and various UPI feature promotions. Key data points include customer interactions (sent, impressions, clicks) and conversion metrics tracked on a daily basis with campaign-specific identifiers and feature type classifications.

business_description: This table supports UPI growth initiatives by tracking the effectiveness of various promotional campaigns aimed at increasing UPI adoption and feature utilization. It enables business teams to monitor campaign performance across different UPI features like bank account linking, mobile number mapping, credit card integration, and new feature rollouts. The data is used for measuring campaign ROI, optimizing marketing strategies, understanding user engagement patterns, and making data-driven decisions for UPI product growth. Business stakeholders can analyze conversion funnels, compare campaign effectiveness across different UPI features, and track same-day conversion rates to assess immediate campaign impact.",Daily,UPI,dt,"The table appears to be part of a comprehensive UPI campaign tracking system. The SQL query shows sophisticated campaign type categorization logic that maps various UPI campaign types into business-friendly feature categories. The table structure supports detailed funnel analysis from campaign sent through to same-day conversions.; The table columns information is empty in the provided input, but the SQL context reveals the table contains at least customer_id and dt fields. The table is part of a larger ecosystem of UPI-related tables used for comprehensive conversion tracking across multiple user actions.; Table columns information was not provided, but based on SQL context, it contains at minimum customer_id and dt fields. This appears to be a core table in the UPI user journey tracking system.; This table is part of a larger ecosystem of UPI feature tracking tables within the user_paytm_payments schema. The SQL context shows it's consistently used with date range filters for month-over-month analysis, indicating its importance in campaign performance measurement.","This table is closely integrated with other UPI-related tables in the user_paytm_payments schema, including mapper, cc_all_linkages, lite_active, upi_statement_download_V1, widget tables, spend_analytics, and lite_auto_topup. It's commonly used in UNION operations to create comprehensive user activity views across different UPI features. The table joins with user mapping tables via customer_id and is often filtered by date ranges for campaign analysis. It serves as a foundational table for tracking user progression through the UPI activation funnel and is frequently combined with other tables to analyze user engagement patterns and conversion rates across different UPI features.; This table is commonly joined with other UPI feature tables including mapper, cc_all_linkages, lite_active, upi_statement_download_V1, and widget_added_rec_money_ER_daily to create comprehensive feature adoption reports. It's typically unioned with these tables using customer_id and dt as common fields to track overall UPI feature engagement. The table serves as a foundational dataset in the user journey analysis, as bank linking is often a prerequisite for other UPI features.; This table is closely integrated with other UPI ecosystem tables including hive.user_paytm_payments.mapper, hive.user_paytm_payments.cc_all_linkages, hive.user_paytm_payments.lite_active, and featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3. It's commonly joined or unioned with these tables using customer_id as the key identifier and dt for temporal alignment. The table serves as one component in a multi-table union structure that tracks various user conversion events in the UPI growth funnel, enabling comprehensive campaign performance analysis across different user engagement touchpoints.; This table likely joins with customer dimension tables using customer_id, campaign management tables using campaign_id, and potentially other UPI transaction tables to correlate campaign performance with actual UPI usage. It may be used alongside other campaign performance tables and UPI adoption metrics tables to provide a comprehensive view of UPI growth initiatives. The table supports time-series analysis through the dt (date) partition and enables cross-campaign comparisons through campaign_id and feature_type dimensions."
ftr,"data_description: The 'ftr' table is a derived dataset that consolidates UPI feature adoption data across multiple feature categories. It contains aggregated information about customer interactions with various UPI features including bank linking, mapper functionality, RuPay credit card linking, UPI Lite activation, statement downloads, and widget usage (Receive Money and Scan & Pay widgets). The table structure includes customer IDs, feature types, and date information, allowing for temporal analysis of feature adoption patterns. Each row represents a customer's engagement with a specific UPI feature on a particular date.

business_description: This table serves as a comprehensive tracking mechanism for UPI growth campaigns, enabling business teams to monitor and analyze the adoption rates of different UPI features. It supports campaign effectiveness measurement, user engagement analysis, and feature performance evaluation. Business stakeholders use this data to understand which UPI features are gaining traction, identify growth opportunities, and make data-driven decisions about feature promotion and development priorities. The table is particularly valuable for product managers, marketing teams, and growth analysts who need to track the success of UPI feature rollouts and campaigns.",Daily,UPI,dt,"This appears to be a derived table or CTE created by combining data from multiple source tables in the user_paytm_payments schema. The SQL query was truncated but shows union operations combining various UPI feature datasets. The table supports month-over-month and day-over-day analysis as indicated by the dashboard chart requirements.; This is a CTE (Common Table Expression) rather than a physical table. The table_columns field is empty because it's dynamically constructed from multiple source tables. The CTE unions data from 8 different UPI feature tables, standardizing them into a common schema with type, custid, and dt fields.; This appears to be a CTE (Common Table Expression) rather than a physical table, used for real-time aggregation of UPI conversion metrics. The query shows a 4-day rolling window for data analysis, suggesting near real-time campaign performance tracking requirements.","The 'ftr' CTE acts as a central aggregation layer that combines data from multiple UPI-related tables including hive.user_paytm_payments.bank_link, hive.user_paytm_payments.cc_all_linkages, hive.user_paytm_payments.lite_active, and featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3. It creates a unified view for campaign conversion analysis by standardizing different UPI activities into a common format with type, customer_id, and date fields. This enables downstream analysis of campaign impressions and clicks correlation with actual UPI feature adoption.; The 'ftr' CTE depends on multiple upstream tables from the hive.user_paytm_payments schema including bank_link, mapper, cc_all_linkages, lite_active, upi_statement_download_V1, widget_added_rec_money_ER_daily, widget_added_snp_ER_daily, spend_analytics, and lite_auto_topup. It serves as a unified interface for campaign tracking systems and is likely joined with banner impression and conversion tracking tables to measure growth campaign effectiveness. This CTE enables comprehensive analysis of UPI feature adoption patterns across the user base.; The 'ftr' table is derived from multiple source tables in the hive.user_paytm_payments schema including bank_link, mapper, cc_all_linkages, lite_active, upi_statement_download_V1, and widget_added_rec_money_ER_daily tables. It serves as a consolidated view that joins data from these feature-specific tables using UNION ALL operations. The table is commonly used in dashboard queries that require aggregated feature adoption metrics, often joined or grouped by date dimensions (dt) and feature types to support time-series analysis and comparative feature performance reporting."
hive.user_paytm_payments.cc_all_linkages,"data_description: This table contains comprehensive campaign tracking data for UPI (Unified Payments Interface) marketing initiatives, specifically focused on credit card linking campaigns and related UPI features. The table stores campaign interaction events including customer engagement metrics across the conversion funnel - from campaign sends and impressions to clicks and same-day conversions. It includes various UPI campaign types such as bank account linking, mobile number mapping, RuPay credit card linking and activation, UPI Lite features, statement downloads, and widget promotions. The data is structured with customer identifiers, campaign details, timestamps, and engagement metrics to enable comprehensive campaign performance analysis.

business_description: This table serves as the primary data source for tracking and analyzing UPI growth marketing campaigns, particularly those aimed at increasing credit card linkage adoption and UPI feature utilization. Business teams use this data to monitor campaign effectiveness, measure conversion rates across different UPI features, and optimize marketing strategies for driving UPI ecosystem growth. The table supports campaign performance dashboards, ROI analysis, customer journey tracking, and A/B testing for various UPI promotional activities. It enables product and marketing teams to understand which campaign types drive the highest engagement and conversions, helping prioritize future campaign investments and feature development efforts.",Daily,UPI,dt,"This table is part of a larger UPI feature tracking ecosystem and is specifically used for monitoring RuPay credit card linking adoption. The table is queried alongside multiple other payment feature tables in a union structure, indicating it follows a standardized schema pattern with other feature tracking tables in the user_paytm_payments database.; This table is part of a comprehensive UPI features tracking system that includes multiple feature types (bank linking, mapper, RuPay CC linking, UPI Lite, statements, widgets). The SQL context shows it's used in month-over-month and day-over-day analysis for campaign tracking purposes.; Table appears to be part of a larger UPI feature adoption tracking framework. The SQL context shows it's specifically used for RuPay CC Linking tracking within a comprehensive campaign measurement system. Column details are not provided in the input, but usage pattern suggests customer_id and dt are key fields based on the query structure.; The table appears to be specifically focused on credit card linking campaigns within the broader UPI ecosystem, as indicated by the ""cc_all_linkages"" naming. The SQL shows extensive campaign type categorization logic, suggesting this is a well-structured campaign tracking system with standardized campaign classifications.","This table is closely integrated with other UPI feature tracking tables including hive.user_paytm_payments.bank_link, hive.user_paytm_payments.mapper, hive.user_paytm_payments.lite_active, and featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3. It's commonly joined in UNION operations to create comprehensive feature adoption datasets. The table shares common schema patterns with other payment tracking tables, using customer_id as a key join field and dt for temporal analysis. It's frequently used in campaign performance dashboards alongside CLM impression and conversion data to measure end-to-end campaign effectiveness from awareness to actual feature adoption.; This table is commonly joined with other UPI feature tracking tables in union operations, specifically with bank_link, mapper, lite_active, upi_statement_download_V1, and widget_added_rec_money_ER_daily tables. It shares a similar schema pattern with customer_id and dt columns that enable consistent aggregation across different UPI features. The table is typically used in analytical queries that combine multiple feature adoption metrics to provide comprehensive UPI growth insights and campaign performance tracking.; This table is closely integrated with other UPI feature tables including bank_link, mapper, lite_active, upi_statement_download_V1, widget_added_rec_money_ER_daily, widget_added_snp_ER_daily, spend_analytics, and lite_auto_topup. All these tables are commonly joined or unioned together using customer_id and date fields to create comprehensive user journey analysis for UPI growth campaigns. The table serves as one component in a multi-feature tracking system where customer actions across different payment functionalities are aggregated to measure overall UPI adoption and engagement metrics.; This table likely joins with customer dimension tables using customer_id, campaign master tables using campaign_id, and may be aggregated with other UPI transaction tables to correlate campaign engagement with actual usage behavior. It's commonly used in conjunction with UPI transaction fact tables to measure the effectiveness of campaigns in driving actual payment activity. The table may also relate to user segmentation tables to analyze campaign performance across different customer cohorts and demographics."
