term,type,definition,business_alias
Analyzed %,Metric / Calculated Field,"Percentage of active sessions that progressed to analysis phase, calculated as (Analyzed Sessions / Active Sessions) * 100",Analyzed Percentage
Eval Completed %,Metric / Calculated Field,"Percentage of active sessions where evaluation was completed, calculated as (Total Evaluations Completed / Total Active Sessions) * 100",Evaluation Completion Rate
Active Sessions,Metric,Total count of active sessions in the soundbox evaluation system for payout and settlement operations.,
Analyzed Sessions,Metric,Total count of sessions that have been processed through the analysis phase of the MHD evaluation system.,
Eval Completed,Metric,Total count of sessions that have successfully completed the entire wealth evaluation process,Evaluation Completed
MHD,Category,Business context identifier for the evaluation system being monitored in this dashboard,
CST Entity,Dimension,"Entity type dimension for filtering data, includes p4bsoundbox and p4bAIBot",
AVG Eval Score %,Metric / Calculated Field,Average evaluation score converted to percentage. Calculated as the average of avg_eval_score multiplied by 100.,
Bot Containment %,Metric / Calculated Field,"Percentage of customer sessions handled by bot without escalation to human agents. Calculated as (Total Active Sessions - FD Tickets) divided by Total Active Sessions, multiplied by 100.",
MSAT %,Metric / Calculated Field,"Customer satisfaction percentage based on feedback responses. Calculated as Happy responses divided by (Happy + Sad responses), multiplied by 100.","Customer Satisfaction Rate, also referred as MSAT, MSAT also referred as Customer Satisfaction, Customer Satisfaction Score, Mean Satisfaction, Customer Satisfaction Percentage"
Bad Eval Share %,Metric / Calculated Field,"Percentage of evaluations marked as bad quality. Calculated as Bad Evaluation Scores divided by (Good + Bad Evaluation Scores), multiplied by 100.",Bad Evaluation Rate
FD Tickets,Metric,Number of tickets escalated to human agents (likely Front Desk tickets).,"Front Desk Tickets, First Desk Tickets, FD also referred as Front Desk"
Happy,Metric,Count of positive customer feedback responses indicating satisfaction.,"Positive Feedback, Positive Responses"
Sad,Metric,Count of negative customer feedback responses indicating dissatisfaction.,"Negative Feedback, Negative Responses"
Eval Score Good,Metric,Number of evaluations classified as good quality.,Good Evaluations
Eval Score Bad,Metric,Number of evaluations classified as bad quality.,Bad Evaluations
Quality Metrics,Category,"Collection of performance indicators measuring service quality including evaluation scores, bot containment, customer satisfaction, and evaluation quality distribution.",Service Quality KPIs
positive_user_sentiment,Metric,Count of users expressing positive sentiment towards the evaluated system or service,
negative_user_sentiment,Metric,Count of users expressing negative sentiment towards the evaluated system or service,
neutral_user_sentiment,Metric,Count of users expressing neutral sentiment towards the evaluated system or service,
Positive Change %,Metric / Calculated Field,"Percentage of positive user sentiment out of total user sentiment, calculated as sum of positive user sentiment divided by total sentiment (positive + negative + neutral) multiplied by 100",
