term,type,definition,business_alias
DAU,Metric,Daily Active Users - count of unique users who were active on a specific day,Daily Active Users
7d avg DAU,Metric / Calculated Field,"7-day average of Daily Active Users, calculated as the mean DAU over the past 7 days",7-day average DAU
Yday DAU,Metric,Yesterday's Daily Active Users count,Yesterday DAU
Yday DAU Growth,Metric / Calculated Field,"Growth rate of yesterday's DAU compared to 7-day average DAU, calculated as (Yday DAU / 7d avg DAU) - 1",Yesterday DAU Growth
MAU,Metric,Monthly Active Users - count of unique users who were active within a month,Monthly Active Users
LMTD MAU,Metric,Last Month-to-Date Monthly Active Users for the equivalent period in the previous month,Last Month-to-Date MAU
MTD MAU,Metric,Month-to-Date Monthly Active Users for the current month period,Month-to-Date MAU
MTD MAU Growth,Metric / Calculated Field,"Growth rate of current month-to-date MAU compared to last month-to-date MAU, calculated as (MTD MAU / LMTD MAU) - 1",Month-to-Date MAU Growth
Txns,Metric,Transaction count - total number of transactions processed,Transactions
7d avg Txns,Metric / Calculated Field,"7-day average of transaction count, calculated as the mean transactions over the past 7 days",7-day average Transactions
Yday Txn Growth,Metric / Calculated Field,"Growth rate of yesterday's transactions compared to 7-day average transactions, calculated as (Yday txns / 7d avg txns) - 1",Yesterday Transaction Growth
MTD Txn Growth,Metric / Calculated Field,"Growth rate of current month-to-date transactions compared to last month-to-date transactions, calculated as (MTD txns / LMTD txns) - 1",Month-to-Date Transaction Growth
GMV,Metric,Gross Merchandise Value - total value of merchandise sold through the platform,Gross Merchandise Value
7d avg Gmv,Metric / Calculated Field,"7-day average of Gross Merchandise Value, calculated as the mean GMV over the past 7 days",7-day average GMV
Yday Gmv Growth,Metric / Calculated Field,"Growth rate of yesterday's GMV compared to 7-day average GMV, calculated as (Yday gmv / 7d avg gmv) - 1",Yesterday GMV Growth
MTD Gmv Growth,Metric / Calculated Field,"Growth rate of current month-to-date GMV compared to last month-to-date GMV, calculated as (MTD gmv / LMTD gmv) - 1",Month-to-Date GMV Growth
NR,Metric,Net Revenue - total revenue after deducting costs and fees,Net Revenue
7d avg NR,Metric / Calculated Field,"7-day average of Net Revenue, calculated as the mean NR over the past 7 days",7-day average Net Revenue
Yday NR Growth,Metric / Calculated Field,"Growth rate of yesterday's Net Revenue compared to 7-day average NR, calculated as (Yday nr / 7d avg nr) - 1",Yesterday Net Revenue Growth
MTD NR Growth,Metric / Calculated Field,"Growth rate of current month-to-date Net Revenue compared to last month-to-date NR, calculated as (MTD nr / LMTD nr) - 1",Month-to-Date Net Revenue Growth
3P,Category,Third Party - refers to external merchants or partners operating on the platform,Third Party
Top 1k,Category,Top 1000 merchants ranked by performance metrics such as transaction volume or revenue,Top 1000
MTD,Synonym,Month-to-Date time period representing data from the beginning of current month to current date,Month-to-Date
LMTD,Synonym,Last Month-to-Date time period representing equivalent timeframe in the previous month for comparison purposes,Last Month-to-Date
Yday,Synonym,Yesterday - metrics from the previous day,Yesterday
Txns(>100),Metric / Calculated Field,"Count of transactions grouped by payee VPA and merchant name, filtered to only include merchants with more than 100 transactions in the current month",Transaction Count (filtered)
payee_vpa,Metric,Virtual Payment Address of the payee or merchant receiving the payment in UPI transactions,"VPA, Virtual Payment Address"
online_merchant_name,Metric,The business name of the online merchant or service provider in the transaction,Merchant Name
3P Online,Category,"Third-party online merchants and their associated transactions, representing external online service providers","Third-party Online, 3P"
VPA mapping,Category,The process of associating Virtual Payment Addresses with corresponding merchant information and business details,VPA Association
UPI,Category,Unified Payments Interface - India's instant real-time payment system that facilitates inter-bank peer-to-peer and person-to-merchant transactions,Unified Payments Interface
MTD New users,Metric,Total count of new users acquired in the current Month-to-Date period,Month-to-Date New Users
MTD React Users,Metric,Total count of reactivated users (React2Mplus) in the current Month-to-Date period,Month-to-Date Reactivated Users
LMTD New Users,Metric,Total count of new users acquired in the Last Month-to-Date period for comparison,Last Month-to-Date New Users
LMTD React Users,Metric,Total count of reactivated users (React2Mplus) in the Last Month-to-Date period for comparison,Last Month-to-Date Reactivated Users
MTD New + React Users,Metric / Calculated Field,Combined total of MTD New Users and MTD React Users calculated as SUM(MTD_New_Users) + SUM(MTD_React2Mplus_Users),
LMTD New + React Users,Metric / Calculated Field,Combined total of LMTD New Users and LMTD React Users calculated as SUM(LMTD_New_Users) + SUM(LMTD_React2Mplus_Users),
New user Growth,Metric / Calculated Field,"Growth rate of new users calculated as (MTD New Users / LMTD New Users) - 1, showing percentage change in new user acquisition",New User Growth Rate
React User Growth,Metric / Calculated Field,"Growth rate of reactivated users calculated as (MTD React Users / LMTD React Users) - 1, showing percentage change in user reactivation",Reactivated User Growth Rate
New+React User Growth,Metric / Calculated Field,"Combined growth rate calculated as ((MTD New + React Users) / (LMTD New + React Users)) - 1, showing overall user acquisition and reactivation performance",Total User Growth Rate
FT/RT,Category,First Time/Repeat Time user classification system used for analyzing user behavior patterns,First Time/Repeat Time
DoD,Category,Day over Day comparison methodology for measuring short-term performance changes,Day over Day
React Users,Synonym,MTD React Users,"Reactivated Users, React2Mplus Users"
