term,type,definition,business_alias
UPI,Category,Unified Payments Interface - India's instant real-time payment system that facilitates inter-bank peer-to-peer and person-to-merchant transactions,Unified Payments Interface
SR,Metric / Calculated Field,"Success Rate calculated as the count of successful transactions divided by total transaction count, representing the percentage of UPI transactions that completed successfully",Success Rate
T,Synonym,Current day time period used for monitoring and comparison analysis,"Current Period, Today, Current Day, Today"
T-1,Synonym,Previous day time period used as baseline for comparison with current day performance,"Yday, Yesterday, Yday, Previous Period, T minus 1, Yesterday, T minus 1, Yesterday, Yday, Yesterday, Yesterday, T minus 1, Yesterday, Previous Day"
Hourly SR Trend,Category,Time-series analysis showing success rate patterns across hourly intervals for performance monitoring,Hourly Success Rate Trend
SR Monitoring,Category,Service Request Monitoring - tracking and analysis of payment service requests and their success/failure rates,Success Rate Monitoring
Bank Codes,Category,Unique identifiers or codes assigned to different banks in the UPI network for transaction routing and identification,Bank Identifiers
YDay_Failure,Metric,Count of failed transactions from yesterday within the same time window as current analysis,"Yesterday Failure, Yesterday Failures"
Today_Failure,Metric,Count of failed transactions from today within the current analysis time window,Today Failures
Failure Growth,Metric / Calculated Field,"Growth rate of failures calculated as (Today Failure / Yesterday Failure) - 1, with zero handling for cases where yesterday failures are zero",
Payee Handle,Metric,"Virtual Payment Address (VPA) identifier of the recipient in UPI transactions, used to route payments to the correct account.","VPA, Virtual Payment Address"
txn_id,Metric,Unique transaction identifier used for counting and tracking individual UPI transactions,Transaction ID
SUCCESS,Category,Transaction status category that includes both 'SUCCESS' and 'DEEMED' statuses for successful UPI transactions.,
P2P,Category,"Person-to-Person UPI transactions between individual users, including VPA2VPA and VPA2ACCOUNT transfers that are not mandate-based.","Person-to-Person, also referred as Peer-to-Peer, Peer-to-Peer, Person-to-Person, Person to Person"
P2M Collect,Category,Person-to-Merchant collect transactions where merchants initiate payment requests to customers through UPI.,"Person-to-Merchant Collect, Person to Merchant Collect"
Hourly,Synonym,Time granularity for data aggregation and trending analysis by hour of the day.,
Yday Failure,Metric,"Total count of failed UPI transactions that occurred on the previous date (yesterday), used for day-over-day comparison analysis.",Yesterday Failure
Today Failure,Metric,"Total count of failed UPI transactions that occurred on the current date, aggregated by error code and payer bank.",T Failure
Error Code,Category,"NPCI response codes that indicate the reason for UPI transaction failures, used for identifying specific failure patterns.","npci_resp_code, NPCI Response Code"
T vs T-1,Synonym,Time period comparison between current day (T) and previous day (T-1) for trend analysis,"Today vs T-1, also referred as Today vs Yesterday, Today vs Yesterday"
PSP,Category,Payment Service Provider - entities that provide UPI payment services to users and merchants,Payment Service Provider
T & T-1,Synonym,Time period references where T represents current time period and T-1 represents the previous time period for comparison analysis,"Today vs Yesterday, Current vs Previous Day, Current and Previous Period, Today vs Yesterday, Today & Yesterday, Current vs Previous Period"
Error Codes,Category,"Classification system for different types of UPI transaction failures, used to categorize and analyze failure patterns.",NPCI Response Codes
Today's Failure,Metric,Total count of failed UPI transactions for the current day (T),T Failures
Yesterday's Failure,Metric,"Total count of UPI transactions that failed yesterday (T-1), filtered by specific transaction types and payer handles.","T-1 Failure, Yday Failure, total_yest_failures, T-1 Failures, Yday Failure"
Growth,Metric / Calculated Field,"Day-over-day percentage change in failures, calculated as (Today's Failure / Yesterday's Failure) - 1",Failure Growth Rate
Payer Handle,Category,The UPI handle or virtual payment address (VPA) of the entity initiating the payment,"VPA, Virtual Payment Address"
Payer Bank,Metric,"The bank from which a UPI transaction originates, used as a dimension for analyzing failure patterns.","Source bank, Sending bank, Payer Bank Name"
UPI SR Monitoring,Category,Unified Payments Interface Success Rate monitoring dashboard that tracks and compares transaction failure metrics across time periods.,UPI Success Rate Monitoring
VPA,Category,Virtual Payment Address - unique identifier for UPI users,Virtual Payment Address
P2M,Category,Peer-to-Merchant transactions - payments from individuals to merchant accounts,Person to Merchant
Success_txns,Metric,Count of transactions that completed successfully with status 'SUCCESS' or 'DEEMED',Successful Transactions
total_Txn,Metric,"Total count of all UPI transactions attempted, including both successful and failed transactions",Total Transactions
Remiter Bank,Synonym,The bank that initiates or sends the UPI payment transaction on behalf of the payer,"Payer Bank, also referred as Remitter Bank, Remitter Bank, Payer Bank"
payer_bank,Metric,The financial institution associated with the customer who is making the payment in a UPI transaction,"Remiter Bank, also referred as Remitter Bank, Payer's Bank"
Last 7 Day avg,Metric,"Average count of failed UPI transactions over the last 7 days, calculated by dividing total failures in the 7-day period by 7","L7D Avg, L7D avg, total_L7D_failures"
% Change(Yest vs L7D Avg),Metric / Calculated Field,"Percentage change calculated as (Yesterday's Failures divided by Last 7 Day Average) minus 1, showing how yesterday's failure rate compares to the recent average.",
Bank,Category,"Payer bank names involved in UPI transactions, used to identify bank-specific failure patterns.",payer_bank_name
L7D,Synonym,"Last 7 Days, referring to the 7-day period used for average calculations.","Last 7 days, 7-day period, Last7day, Last 7 Day avg, Last 7 Day, Last 7 Day avg, 7-day average, Last 7 Days, Last7day, 7-day period"
SnP,Category,Scan and Pay transactions - payments made by scanning QR codes including 3P QR and Paytm QR,Scan and Pay
Online,Category,"Online UPI transactions including Intent, P2M Collect, and Mandate_Online flow categories.",
Onus,Category,On-us UPI transactions including Onus_ExcMandates and Mandate_Onus where both payer and payee are within the same bank.,On-us
Last7day Failure,Metric / Calculated Field,"Average daily count of failed UPI transactions over the last 7 days, calculated by dividing total failures in last 7 days by 7.","L7D Avg Failure, 7-day Average Failure, L7D Avg Failure, L7D Failure, 7-day avg failure, L7D Failure"
