term,type,definition,business_alias
COUNT(id),Metric / Calculated Field,"Total count of unique case IDs or records, representing the number of cases in the system",
days_bucket,Dimension,Time-based grouping dimension that categorizes cases based on the number of days they have been pending,
final_stage,Dimension,The ultimate stage or status that a case has reached in the workflow process,
substage,Dimension,"Sub-level stages within the main workflow stages, providing more granular tracking of case progress",
Pendency,Category,"Cases or processes that are awaiting action, approval, or completion, tracked across different time periods and stages",
QS_SB,Category,"Quality Service and Service Board processes, representing the operational framework being monitored","QR_SB, also referred as Quality Review Service Board"
QS_SB Pendency,Category,"Query Service and Service Book pendency tracking category, encompassing all metrics related to case resolution timeframes","QS/Query Service, SB/Service Book"
Case Pendency,Category,Time-based analysis of unresolved cases across different workflow stages and time periods,
Pending for Callback,Category,Status indicating cases waiting for callback to be made to merchants or customers,
CallAttempted,Category,Status indicating that a call attempt has been made to the merchant or customer,
OTHER ISSUES,Category,Status for cases that don't fit into standard categories and require special handling,
Merchant Setup,Category,Cases related to setting up new merchant accounts or merchant onboarding issues,
Gold Investment Plan,Category,Cases related to gold investment product issues and inquiries,
MHD-Riskops-QR,Category,Cases assigned to MHD Risk Operations team for QR-related issues,MHD Risk Operations QR
MHD Offline Chargeback cases,Category,Cases related to offline chargeback disputes and resolution,
Merchant Dependency,Category,Cases where resolution is pending due to required information or action from the merchant,Details pending from Merchant
Pending with other Department,Category,Cases that have been escalated to or are waiting for response from other internal departments,
Re-Open,Category,Previously closed cases that have been reopened for further investigation or resolution,
Merchant Response Received,Category,Cases where merchant has provided requested information and awaiting next action,
DIY,Category,Do-it-yourself cases for Payout & Settlement and Merchant Profile issues where confirmation is pending,Do It Yourself
Pending for Loan Disbursement,Category,Business loan cases waiting for loan disbursement confirmation,
Assign to retention,Category,Cases assigned to the retention team for customer retention activities,P2P - Assigned to Retention
Payout & Settlement,Category,"Percentage of payout and settlement tickets escalated to first-line defense, calculated as (payout settlement FD tickets / total payout settlement tickets) * 100",
Merchant Profile,Category,Issue category for cases related to merchant profile setup and management,
Business Loan,Category,"Percentage of business loan tickets escalated to first-line defense, calculated as (business loan FD tickets / total business loan tickets) * 100",
Bot Ticket Count,Metric,"Count of tickets or interactions processed by automated bot systems, including both completed and dropped-off interactions.",
SUM(bot_ticket_count),Metric / Calculated Field,"Total aggregated count of all bot ticket interactions across all records, calculated by summing individual bot ticket counts.",Bot Tickets Counts
LOB,Category,"Line of Business dimension used to segment and analyze service satisfaction metrics across different business units, excluding Enterprise, Retail Mid-Market, and Government segments","Line of Business, Line of Business, Business Line"
Dropoff,Category,Category indicating incomplete or abandoned bot interactions where users did not complete the full ticket process.,
Bot Tickets Count,Metric / Calculated Field,"Total sum of bot tickets from active sessions, aggregated across the selected time period and grouped by line of business","Bot Tickets, Bot Active Ticket Count"
Active Sessions,Category,"Total count of active customer service sessions within a given time period, representing user interactions with the care system.",
bot_active_ticket_count,Metric,"Total count of active tickets generated from bot interactions, used as denominator for passthrough calculations",
lob,Category,Line of Business - a business dimension used to categorize and segment data by different business units or product lines,"Line of Business, LOB, Line of Business"
MHD,Category,"System or service identifier referenced in the Care Dashboard, likely representing a specific healthcare or care management system component.","Mental Health Dashboard, Mental Health Digital, Mobile Handset Device, Mental Health Department, also referred as Medical Health Department, Mental Health Division, Mental Health Disorders, Medical/Healthcare Division, Mental Health Department, Merchant Help Desk, Medical Health Department, Multi-Home Device"
