table_name,column_name,variable_type,column_description,required_flag
hive.team_servicesone.combined_data_project_servicesone_mhd,bot_active_ticket_count,bigint,"Represents the total count of tickets that were actively processed by bots, used as the baseline denominator for calculating bot passthrough percentages to human agents and services. This metric helps measure bot effectiveness by showing the total volume of bot-handled tickets before any escalation occurs.",no
hive.team_servicesone.combined_data_project_servicesone_mhd,lob,varchar,"Line of Business (LOB) identifier that categorizes service operations into distinct business segments or product divisions. This column is used to group and analyze service ticket metrics, particularly IVR call-to-service ticket conversions, across different organizational business lines.",no
hive.team_servicesone.combined_data_project_servicesone_mhd,bot_ticket_count,bigint,"Represents the count of customer service tickets processed by automated bot systems, including both completed interactions and cases where customers dropped off during the bot conversation. This metric is used to measure bot engagement and workload distribution across different lines of business.",no
hive.team_servicesone.combined_data_project_servicesone_mhd,bot_positive_response,bigint,"This column stores the count of positive responses received from bot interactions, used to calculate bot customer satisfaction (MSAT) percentages by measuring favorable feedback from users who interacted with the automated bot system.",no
hive.team_servicesone.combined_data_project_servicesone_mhd,bot_total_responses,bigint,"Represents the total number of responses generated by the bot system, used as the denominator in calculating Bot MSAT (satisfaction) percentage metrics. This count is aggregated across different lines of business to measure overall bot response volume.",no
hive.team_servicesone.combined_data_project_servicesone_mhd,ivr_calls,bigint,"Represents the number of calls handled through Interactive Voice Response (IVR) systems. This metric is used to calculate IVR contact ratios as a percentage, measuring the proportion of customer interactions that go through automated voice systems rather than direct human contact.",no
hive.team_servicesone.combined_data_project_servicesone_mhd,agent_ticket_count,bigint,"This column contains the count of tickets handled by Mental Health Department (MHD) agents, specifically tracking ticket volume processed through the IVR system. It serves as a key performance metric for measuring agent workload and productivity in customer service operations.",no
hive.team_servicesone.combined_data_project_servicesone_mhd,agent_ticket_count_bot,bigint,This column represents the count of tickets that originated from bot interactions but were escalated or passed through specifically to MHD (Mental Health & Disability) agents for human handling. It's used to measure bot-to-agent handoff volumes and calculate passthrough rates in the service analytics dashboard.,no
hive.team_servicesone.combined_data_project_servicesone_mhd,total_ticket_count,bigint,A numeric count representing the total number of support tickets associated with each record. This column is used to aggregate ticket volumes by issue type to identify the most common L1 support issues handled by human agents.,no
hive.team_servicesone.combined_data_project_servicesone_mhd,service_ticket_count,bigint,"Represents the count of service tickets that were escalated or passed through from automated bot interactions to human service agents. This metric is used to calculate the bot-to-service passthrough rate, indicating how often bot conversations require human intervention.",no
hive.team_servicesone.combined_data_project_servicesone_mhd,agent_tickets_feedback_received,bigint,This column represents the total count of agent-handled tickets that received feedback responses from customers. It serves as a key metric for measuring feedback collection effectiveness and is used to calculate feedback response rates and customer satisfaction percentages for MHD agent interactions.,no
hive.team_servicesone.combined_data_project_servicesone_mhd,agent_tickets_msat_received,bigint,This column represents the count of agent tickets that received positive satisfaction (MSAT) feedback from customers for MHD (Mental Health and Disability) agent interactions. It serves as the numerator in calculating the overall MSAT percentage for MHD agents by measuring how many tickets resulted in satisfied customer responses.,no
hive.team_servicesone.combined_data_project_servicesone_mhd,service_tickets_feedback_received,bigint,"Represents the total count of service tickets that received customer feedback, used as the denominator in calculating MSAT (Customer Satisfaction) percentage metrics for service performance analysis.",no
hive.team_servicesone.combined_data_project_servicesone_mhd,service_tickets_msat_received,bigint,Represents the count of service tickets that received MSAT (Customer Satisfaction) feedback responses. This metric is used to calculate satisfaction rates by measuring how many feedback responses were received relative to total feedback collected for service performance analysis.,no
hive.team_servicesone.combined_data_project_servicesone_mhd,total_tickets_feedback_received,bigint,This column stores the total number of support tickets for which customer feedback was successfully received from human agent interactions. It serves as a key metric for measuring feedback collection rates and calculating customer satisfaction percentages in service delivery analytics.,no
hive.team_servicesone.combined_data_project_servicesone_mhd,total_tickets_msat_received,bigint,"This column contains the total count of tickets that received MSAT (Most Satisfied) feedback responses for MHD and Service operations. It serves as the numerator in calculating the MSAT percentage, which measures customer satisfaction by dividing MSAT responses by total feedback received.",no
hive.team_servicesone.combined_data_project_servicesone_mhd,issue_mapping,varchar,A categorical field that contains mapped issue type classifications used to group and analyze bot-handled tickets by issue category. This column serves as a business dimension for identifying the most common types of issues processed by automated bot systems.,no
hive.team_servicesone.combined_data_project_servicesone_mhd,sum_tat_days,bigint,"Represents the total sum of turnaround time (TAT) in days for human agent interactions, used as the numerator to calculate average TAT when divided by the total number of tickets. This aggregated measure enables calculation of performance metrics for human agent response times across different lines of business.",no
hive.team_servicesone.combined_data_project_servicesone_mhd,tat_denominatior_tickets,bigint,This column represents the total count of tickets used as the denominator for calculating Average Turnaround Time (TAT) in days for MHD (Mental Health Department) agents. It serves as the divisor in TAT calculations to determine the average processing time per ticket across different lines of business.,no
hive.team_servicesone.combined_data_project_servicesone_mhd,bot_active_merchant_count,bigint,"Represents the count of unique merchants who have active bot sessions during a given time period. This metric is used to track merchant engagement with automated services, excluding merchants who dropped off from bot interactions.",no
hive.team_servicesone.combined_data_project_servicesone_mhd,bot_merchant_count,bigint,"This column represents the total count of unique merchants who initiated bot interactions, including both those who completed their sessions actively and those who dropped off during the process. It's used to track overall bot engagement trends and merchant adoption of automated services over weekly periods.",no
