term,type,definition,business_alias
MAU,Metric / Calculated Field,"Monthly Active Users calculated as sum of users who have use_case_mtd greater than 0, indicating users who performed at least one UPI transaction use case in the current month",Monthly Active Users
#Users,Metric,"Total count of users in the system, representing the sum of all users across different lifecycle stages and account profiles.",Total Users
%,Metric / Calculated Field,"Percentage distribution calculated as (MAU for each handle group / Total MAU within lifecycle partition) * 100, showing the proportion of monthly active users across different handle counts","Retention Rate, Percentage Distribution, MAU Distribution Percentage"
Handles,Metric,"Count of distinct UPI accounts/handles per user, representing the number of active UPI accounts a user maintains","UPI Handles, UPI Accounts"
Lifecycle CM,Category,"User lifecycle categorization in the current month, including stages like Active, Dormant, and other user states based on transaction activity.","User Lifecycle, Customer Lifecycle, Lifecycle Current Month"
use_case_mtd,Metric,Month-to-date use case activity indicator showing whether a user has performed UPI transactions in distinct use cases during the current month,"Use Cases Month-to-Date, Monthly Use Case Activity"
accounts,Metric,"Count of distinct bank accounts associated with users, representing the number of linked payment accounts.",Bank Accounts
Dormant,Category,User lifecycle status indicating inactive users who have not performed transactions within the specified period.,Inactive Users
LMTD - MAU,Metric / Calculated Field,"Last Month To Date Monthly Active Users - sum of users filtered for the LMTD period, representing active users from the same day range in the previous month",Last Month To Date MAU
MTD - MAU,Metric / Calculated Field,"Month To Date Monthly Active Users - sum of users filtered for the MTD period, representing active users from the beginning of current month to current date",Month To Date MAU
LMTD,Category,Last Month To Date - time period representing the same day range in the previous month as the current MTD period,"Last Month Till Date, Last Month To Date"
MTD,Category,"Month To Date time period, representing data from the beginning of the current month to the current date","Month To Date, Month to Date"
UPI,Category,Unified Payments Interface - India's instant real-time payment system that facilitates inter-bank transactions through mobile platforms,Unified Payments Interface
Usecase,Category,Different categories or types of UPI transactions and payment flows that users engage with,Use Case
Lifecycle,Category,User classification categories including new users ('a:new') and reactivated users ('c:react') based on their UPI usage patterns,"User Lifecycle Stage, Lifecycle CM, Customer Lifecycle, Customer Lifecycle Stage, User_type, User Type, User Profile"
DAU,Metric,Daily Active Users - the number of unique users who perform at least one UPI transaction on a given day,Daily Active Users
TXNs,Metric,Total number of UPI transactions including PAY and COLLECT transaction types with SUCCESS or DEEMED status,Transactions
TPU,Metric / Calculated Field,Transactions Per User - calculated as total transactions divided by Daily Active Users (sum(txns)/sum(DAU)),Transactions Per User
T20 Cities,Category,"Top 20 cities in India including New Delhi, Bangalore, Hyderabad, Jaipur, Mumbai, Chennai, Noida, Gurgaon, and others where UPI transactions are analyzed",Top 20 Cities
Retention,Metric / Calculated Field,"The percentage of users who continue to use UPI services in subsequent months, calculated as users divided by the maximum users in the same lifecycle and base month partition","Retention Rate, NRR_retention, User Retention Analysis, User Retention Rate"
Profile wise,Category,"Segmentation approach that groups users based on their behavioral patterns, lifecycle stages, or user types",
c:react,Category,Customer reactive segment that includes users with reaction patterns categorized as 'c:react 1-3' and 'c:react 3+' user types,"reactive users, Customer Reactive, Reactivated Customers"
base_month,Metric,The starting month used as reference point for calculating retention cohorts and measuring user activity progression,
lifecycle,Category,User classification system that categorizes users based on their engagement patterns and behavioral stages,user_type
Base Month,Metric,"The initial month when a user first becomes active, used as reference point for retention calculations","Reference Month, Base_month, base_month"
New Users,Metric,"Users classified as 'a:new' in their lifecycle stage, representing first-time UPI users in a given period",a:new
Diff,Metric / Calculated Field,"The difference in months between the base month and retention month, used to measure retention periods",
Users,Metric,Count of distinct customers (scope_cust_id) within a specific lifecycle and time period,scope_cust_id
Success,Metric,"Total count of successful UPI transactions, including transactions with 'success' and 'deemed' status","Success_txn, Successful transactions"
Overall,Metric,"Total count of all UPI transactions across all statuses (success, deemed, failure, pending)","Overall_txn, Total transactions"
SR,Metric / Calculated Field,Success Rate calculated as the ratio of successful transactions (success + deemed status) to total overall transactions (success + deemed + failure + pending status),Success Rate
Flow_category,Category,"Classification of UPI transaction flows based on transaction categories like VPA2MERCHANT, VPA2VPA, VPA2ACCOUNT","Flow Category, Transaction Flow Category"
VPA2MERCHANT,Category,UPI transactions from Virtual Payment Address to merchant accounts,VPA to Merchant
VPA2VPA,Category,UPI transactions between Virtual Payment Addresses (peer-to-peer transfers),VPA to VPA
VPA2ACCOUNT,Category,UPI transactions from Virtual Payment Address to bank account,VPA to Account
