table_name,table_description,refresh_frequency,vertical,partition_column,remarks,relationship_context
hive.tpap_pms.account_snapshot_v3,"data_description: The account_snapshot_v3 table is a comprehensive repository of account-level data containing user account information with fields like user_id, created_on timestamps, detail_2 (account identifiers/handles), account_type classifications, and status indicators. The table maintains historical snapshots of account states with dl_last_updated tracking for data lineage. It includes account lifecycle information and supports filtering by status (ACTIVE, DORMANT) and creation dates for temporal analysis.

business_description: This table serves as a critical data source for UPI business analytics, particularly for Monthly Active User (MAU) analysis and handle-wise distribution reporting. It supports lifecycle management by tracking account states and enables segmentation analysis for different account types. The table is primarily used in payment analytics dashboards to understand user engagement patterns, account distribution across different handles, and to measure business performance metrics like MAU. It plays a key role in UPI product management and strategic decision-making by providing insights into account utilization and user behavior patterns.",Daily,UPI,dl_last_updated,"Table appears to be version 3 of account snapshots, suggesting it's an evolved schema. The dl_last_updated field indicates delta lake or similar technology for data versioning. Query patterns show heavy usage for MAU calculations and lifecycle analysis.; This appears to be version 3 of the account snapshot table, suggesting ongoing schema evolution. The table is actively used in complex analytical queries involving joins with user tables and transaction data for MAU calculations. The presence of dl_last_updated suggests this is a slowly changing dimension table with data lineage tracking.","This table has a strong relationship with hive.tpap_pms.user_snapshot_v3 through user_id joins, as evidenced in the SQL queries. It's commonly used alongside transaction tables (like user_paytm_payments.upi_flow_wise_base_cm) for activity analysis. The table serves as a bridge between user identity data and transaction behavior, enabling comprehensive account-level analytics. It's frequently joined with user tables on user_id and customer_id fields for customer segmentation and lifecycle analysis.; This table has strong relationships with user_snapshot_v3 table through user_id joins, and is commonly used alongside transaction tables like upi_flow_wise_base_cm for usage analysis. It serves as a dimension table in UPI analytics, providing account context for transaction and usage pattern analysis. The table is frequently joined with user tables to create customer-account mappings and with transaction tables to calculate activity metrics like MAU and use case distributions."
hive.user_paytm_payments.upi_flow_wise_base,"data_description: The upi_flow_wise_base table contains UPI (Unified Payments Interface) transaction data organized by flow categories and use cases. The table structure includes day_id for temporal partitioning, payer_cust_id for customer identification, and final_category for transaction classification. The table serves as a base dataset for analyzing UPI transaction patterns, user behavior, and flow categorization across different payment use cases. It appears to exclude 'Others' categories and focuses on meaningful transaction classifications.

business_description: This table supports UPI business analytics by enabling Monthly Active User (MAU) calculations across different payment use cases and customer lifecycle stages. It's used for tracking UPI adoption patterns, measuring user engagement across various payment flows, and analyzing customer behavior trends. The table enables business teams to understand payment preferences, monitor use case performance, and make data-driven decisions for UPI product optimization. It's particularly valuable for measuring month-over-month and last-month-to-date comparisons of active users across different UPI transaction categories.",Daily,UPI,day_id,"The table appears to be a core UPI analytics table with complex categorization logic. The SQL context shows incomplete queries but indicates sophisticated user lifecycle analysis and cross-category use case tracking for MAU calculations.; The table appears to be a core UPI analytics table with complex business logic for customer segmentation. The SQL context shows sophisticated MAU calculations with lifecycle analysis and use case categorization. The table structure supports both current month (MTD) and last month (LMTD) comparisons for business reporting.; The table appears to have a partitioned variant (upi_flow_wise_base_partitioned) and a current month variant (upi_flow_wise_base_cm), suggesting different storage strategies for historical vs current data. The exclusion of 'Others' categories in queries indicates focus on meaningful business categories.","This table has strong relationships with user management and account tables, specifically joining with hive.tpap_pms.account_snapshot_v3 and hive.tpap_pms.user_snapshot_v3 for customer and account information. It appears to be used in conjunction with other UPI-related tables for comprehensive payment flow analysis. The table is commonly filtered by payer_cust_id and day_id for temporal analysis, and joined with customer lifecycle and account status data for segmentation purposes. It serves as a base table for higher-level UPI analytics and dashboard reporting.; This table is closely related to account snapshot tables (hive.tpap_pms.account_snapshot_v3) and user snapshot tables (hive.tpap_pms.user_snapshot_v3) through customer_id joins. It also references a related table user_paytm_payments.upi_flow_wise_base_cm for monthly aggregations. The table serves as a base for MAU calculations and is commonly joined with user and account master data for comprehensive UPI analytics and reporting dashboards.; This table has strong relationships with customer lifecycle tables (hive.cdo.fact_upi_customer_lifecycle_snapshot_v3) through customer_id joins. It's commonly used alongside lifecycle data to segment users by their engagement stages. The table serves as a foundation for MAU calculations and is likely joined with customer profile tables, transaction metadata tables, and business category mapping tables. It supports time-based analysis through date range filtering and is used in conjunction with month-to-date and period comparison queries."
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,"data_description: The fact_upi_customer_lifecycle_snapshot_v3 table is a comprehensive snapshot table that captures UPI customer lifecycle data and transactional behavior patterns. It contains customer-level aggregated metrics including transaction volumes, user retention indicators, TPU (Transactions Per User) calculations, and lifecycle stage classifications. The table structure supports temporal analysis with date partitioning and includes customer segmentation data across various UPI transaction categories and payment handles. It serves as a foundational dataset for customer behavior analytics, retention analysis, and lifecycle management in the UPI ecosystem.

business_description: This table is primarily used for UPI customer analytics and business intelligence, supporting monthly active user (MAU) distribution analysis, customer retention tracking, and lifecycle management. It enables business teams to monitor user engagement patterns, calculate retention rates across different TPU buckets, and perform cohort analysis for UPI customers. The table supports strategic decision-making around customer acquisition, retention strategies, and product optimization by providing insights into customer transaction behaviors, payment preferences, and usage patterns across different UPI handles and merchant categories.",Daily,UPI,dl_last_updated,"This is a versioned table (v3) indicating ongoing schema evolution and optimization. The table appears to be a core analytical asset for UPI business operations, with complex retention and lifecycle calculations built on top of it. The SQL context shows sophisticated analytical queries involving month-over-month comparisons and TPU-based customer segmentation.; This appears to be version 3 of the customer lifecycle snapshot table, indicating ongoing refinements to the data model. The SQL query shows complex logic for handling different lifecycle states including dormant users, and integrates multiple data sources for comprehensive customer analysis.; This is a versioned table (v3) indicating ongoing schema evolution and improvements. The table appears to be designed specifically for snapshot-based analysis rather than transactional data, making it optimized for reporting and analytics use cases. The lifecycle field suggests sophisticated customer segmentation capabilities.; This is version 3 of the customer lifecycle snapshot table, suggesting ongoing evolution and improvements. The table appears to be optimized for retention analysis and customer segmentation. The SQL query shows complex logic for MTD (Month-to-Date) calculations and TPU bucket analysis, indicating this is a sophisticated analytical table designed for advanced customer analytics.; This is version 3 of the customer lifecycle snapshot table, suggesting it has evolved over time. The table appears to be optimized for retention analysis and customer segmentation queries, with pre-calculated metrics to support dashboard performance.; This is version 3 of the customer lifecycle snapshot table, suggesting iterative improvements in data structure. The table appears to be highly aggregated and optimized for analytical queries, particularly for MAU calculations and lifecycle analysis.; This is version 3 of the table (v3), indicating it has undergone schema evolution. The table is specifically designed for customer lifecycle analysis with focus on retention metrics and supports complex time-based queries for month-to-date and month-over-month comparisons.","This table has strong relationships with core UPI operational tables including account snapshots (hive.tpap_pms.account_snapshot_v3), user snapshots (hive.tpap_pms.user_snapshot_v3), and UPI transaction flow tables (user_paytm_payments.upi_flow_wise_base_cm). It serves as a derived analytical table that joins customer data with account information and transaction patterns. The table is commonly used in conjunction with user management tables for customer lifecycle analysis and is likely a key source for executive dashboards and business intelligence reporting focused on UPI user engagement metrics.; This table is commonly joined with UPI transaction tables like user_paytm_payments.upi_flow_wise_base_partitioned and user_paytm_payments.upi_flow_wise_base_cm to correlate customer lifecycle stages with actual transaction behavior. The customer_id field serves as the primary join key, enabling analysis of how customers in different lifecycle stages engage with various UPI use cases. It's typically used in conjunction with date-based filtering to create time-bounded cohort analyses and MAU calculations.; This table has strong relationships with account snapshot tables (hive.tpap_pms.account_snapshot_v3) and user snapshot tables (hive.tpap_pms.user_snapshot_v3) through customer_id joins. It also integrates with UPI transaction flow tables (user_paytm_payments.upi_flow_wise_base_cm) for use case analysis. The table serves as a central fact table that aggregates data from multiple operational tables to provide a unified view of UPI customer lifecycles, commonly used in joins for comprehensive customer analytics and segmentation queries.; This table has a close relationship with hive.cdo.fact_upi_transactions_snapshot_v3, as evidenced by the SQL query that joins customer lifecycle data with transaction data for retention calculations. It likely serves as a higher-level aggregation table that summarizes transaction-level data into customer lifecycle metrics. The table is commonly used in conjunction with transaction tables to calculate retention rates, customer segmentation, and lifecycle transitions, making it a key table for UPI customer analytics and business intelligence reporting.; This table has a strong relationship with hive.cdo.fact_upi_transactions_snapshot_v3, as evidenced by the SQL query that joins customer lifecycle data with transaction data. It likely serves as a derived/aggregated table that processes raw transaction data to create customer lifecycle insights. The table is commonly used in conjunction with transaction tables for retention analysis, customer segmentation dashboards, and MAU reporting. It may also relate to customer dimension tables and other UPI analytical tables for comprehensive customer journey analysis.; This table is closely related to fact_upi_transactions_snapshot_v3 as evidenced by the SQL queries that join customer lifecycle data with transactional data. It likely serves as a derived/aggregated table built from raw UPI transaction tables, with relationships to customer dimension tables for demographic analysis. The table supports joins with other UPI-related tables for comprehensive customer journey analysis and is commonly used in conjunction with transaction-level data for retention and lifecycle analytics. It may also connect to customer profile tables and merchant/category dimension tables for deeper segmentation analysis.; This table has a strong relationship with hive.cdo.fact_upi_transactions_snapshot_v3, as evidenced by the SQL query context which joins customer lifecycle data with transaction-level data. It's commonly used in conjunction with transaction tables to calculate retention metrics, where customer_id_payer serves as the linking key. The table supports analytical queries that require temporal joins across different time periods (current month vs previous month) and is often aggregated with transaction data to derive customer behavior insights and lifecycle transitions."
all_accounts,"data_description: The all_accounts table appears to be a derived dataset containing UPI account information extracted from account snapshots. It includes core account identifiers (user_id, account_type), account creation timestamps (created_on), account details (detail_2), and focuses on active account status filtering. The table structure supports account-level analysis by providing necessary fields to create unique account keys and track account lifecycle states. The data is filtered to include only active accounts with valid last updated timestamps and accounts created before the current analysis date.

business_description: This table serves as a foundational component for UPI Monthly Active User (MAU) analysis and user lifecycle management. It supports business operations by enabling measurement of user engagement across different UPI handles and profiles, facilitating MAU distribution analysis, and supporting user lifecycle categorization (active vs dormant users). The table is primarily used in analytical contexts to understand UPI user behavior patterns, measure platform adoption, and track user retention metrics across different account types and user segments.",Daily,UPI,,"This is a CTE (Common Table Expression) rather than a physical table. The actual source table is hive.tpap_pms.account_snapshot_v3. The table_columns field is empty, suggesting metadata extraction limitations for CTEs. The filtering logic indicates focus on active accounts with proper audit trails (dl_last_updated IS NOT NULL).; This appears to be a CTE (Common Table Expression) rather than a physical table, as indicated by the SQL context. The table_columns field is empty, suggesting this might be a dynamically generated or derived dataset. The query context shows complex joins with user data and transaction data to calculate MAU metrics and lifecycle states.","The all_accounts CTE joins with users CTE (derived from user_snapshot_v3) on user_id to create comprehensive user-account relationships. It's commonly used in conjunction with transaction data (upi_flow_wise_base_cm) to analyze user activity patterns. The CTE creates account_key combinations using customer_id, detail_2, and account_type for unique identification across the UPI ecosystem, enabling analysis of user behavior across multiple accounts and payment use cases.; The all_accounts table has strong relationships with hive.tpap_pms.account_snapshot_v3 (source table), hive.tpap_pms.user_snapshot_v3 (joined on user_id to id), and user_paytm_payments.upi_flow_wise_base_cm (for transaction-based use case analysis). It's commonly joined with user tables to create composite account keys and is used in conjunction with transaction tables to calculate MAU and user lifecycle metrics. The table serves as an intermediate layer between raw account snapshots and business intelligence reporting for UPI user analytics."
users,"data_description: This table represents a derived dataset of UPI users with their account profiles and activity metrics. It contains user lifecycle information, account counts per customer, and Monthly-to-Date (MTD) use case activity. The data structure includes customer identifiers, account aggregations, lifecycle status classifications (Active, Dormant), and UPI transaction use case counts. The table is constructed through complex joins of user snapshots, account snapshots, and UPI transaction flow data, filtered for specific PSP participants and active/dormant user statuses.

business_description: This table supports UPI business analytics by enabling Monthly Active User (MAU) analysis across different user lifecycle segments. It is primarily used for understanding user engagement patterns, measuring UPI adoption rates, and analyzing user activity distribution across various account profiles. The table helps business teams track user lifecycle transitions, monitor dormant user reactivation, and assess the breadth of UPI use cases per customer. It supports strategic decision-making around user retention, product development, and market penetration analysis in the UPI payments ecosystem.",Daily,UPI,dt,"This appears to be a derived table created through CTEs rather than a physical table. The complex query structure suggests it's built from multiple source tables for specific MAU analysis purposes. The table includes sophisticated filtering logic for user status and PSP associations.; This appears to be a complex derived table or view created through CTEs rather than a standalone base table. The SQL shows incomplete query structure, suggesting this is part of a larger analytical framework. The table involves multiple data sources and complex business logic for user lifecycle classification.","This derived users table is built from relationships with hive.tpap_pms.account_snapshot_v3 (for account information), hive.tpap_pms.user_snapshot_v3 (for user profiles), and user_paytm_payments.upi_flow_wise_base_cm (for transaction use cases). It joins on user_id and customer_id fields to create comprehensive user profiles. The table is typically used in conjunction with transaction tables for MAU calculations and user lifecycle analysis, supporting dashboard queries that aggregate user counts by various dimensions like handles and lifecycle status.; This table has strong relationships with core UPI infrastructure tables including hive.tpap_pms.user_snapshot_v3 (for user profile data), hive.tpap_pms.account_snapshot_v3 (for account information), and user_paytm_payments.upi_flow_wise_base_cm (for transaction flow data). It typically joins on customer_id and user_id fields, and is commonly used alongside transaction tables for comprehensive UPI user behavior analysis. The table serves as a foundation for user segmentation and lifecycle analysis in UPI dashboards and reports."
hive.user_paytm_payments.upi_flow_wise_base_cm,"data_description: This table contains UPI (Unified Payments Interface) transaction flow data specifically for the current month period. It stores transactional records with customer IDs (payer_cust_id), transaction dates (day_id), and categorized flow types (final_category). The table appears to be a current month variant of a larger partitioned dataset, focusing on recent UPI transaction activities. Key data elements include customer identifiers, daily transaction dates, and business-defined flow categories that exclude 'Others' classifications for analytical purposes.

business_description: The table supports Monthly Active User (MAU) analysis and customer lifecycle tracking within the UPI payments ecosystem. It enables business teams to monitor user engagement patterns, analyze transaction use cases, and track customer behavior across different payment flows. The table is primarily used for generating MAU distribution reports by profile types, supporting business intelligence for UPI product performance, customer segmentation analysis, and month-over-month user activity comparisons. It plays a crucial role in understanding UPI adoption patterns and optimizing payment flow experiences.",Daily,UPI,day_id,"The table appears to be incomplete in the column information provided, but the SQL context reveals it contains UPI transaction flow data. The table is used for calculating MAU metrics and supports lifecycle analysis. The query shows filtering for specific transaction categories excluding 'Others'/'others', indicating data quality considerations.; The table name suggests it's a base table for current month (cm) UPI flow analysis. The SQL context shows complex business logic for calculating MAU metrics and customer lifecycle segmentation, indicating this is a critical table for UPI business analytics.; This appears to be a current month (CM) specific table that works in conjunction with a partitioned version (upi_flow_wise_base_partitioned). The table excludes 'Others' categories for cleaner analytical insights and supports temporal comparisons between current month (MTD) and last month (LMTD) data.","This table has a direct relationship with user_paytm_payments.upi_flow_wise_base_partitioned and is used in union operations for comprehensive UPI flow analysis. It connects to hive.cdo.fact_upi_customer_lifecycle_snapshot_v3 through customer_id joins for lifecycle analysis. The table is commonly joined on payer_cust_id for customer-centric analysis and filtered by day_id for time-based comparisons. It serves as a complementary dataset to the main partitioned UPI flow table, specifically handling current month data processing requirements.; This table is joined with hive.tpap_pms.account_snapshot_v3 and hive.tpap_pms.user_snapshot_v3 for customer and account information. It relates to user lifecycle data through customer_id fields and supports cross-functional analysis with account management systems. The table is commonly used in conjunction with user snapshot tables to create comprehensive customer engagement views and is likely part of a broader UPI analytics framework that includes account status, user demographics, and transaction behavior analysis.; This table has strong relationships with user and account management tables (hive.tpap_pms.user_snapshot_v3 and hive.tpap_pms.account_snapshot_v3) through customer_id joins. It's commonly used in conjunction with these tables to enrich transaction data with user profile information and account details. The table appears to be part of a broader UPI analytics ecosystem where transaction flows are analyzed alongside user demographics and account status information for comprehensive customer insights."
hive.tpap_pms.user_snapshot_v3,"data_description: This table contains comprehensive user profile snapshots for UPI services, storing user-level information including customer identifiers, PSP (Payment Service Provider) associations, user status, account types, and profile metadata. The table appears to be a versioned snapshot (v3) that captures user states at specific points in time, with fields for tracking user lifecycle stages (ACTIVE, DORMANT), user types (PERSON), and various identification keys. It includes temporal tracking through dl_last_updated fields and supports historical user state analysis.

business_description: This table serves as the primary source for UPI user analytics and Monthly Active User (MAU) calculations across different user lifecycle segments. It supports business intelligence dashboards that track user engagement patterns, dormancy analysis, and PSP-wise user distribution. The table enables product teams to monitor user retention, identify dormant users for reactivation campaigns, and analyze user behavior across different payment service providers. It's critical for calculating key metrics like MAU distribution by user profiles and lifecycle stages, supporting strategic decisions around user engagement and platform growth.",Daily,UPI,dl_last_updated,"The table includes specific PSP ID filtering (6, 7, 8, 9) and has logic for handling dormant users with comments. The version suffix ""v3"" indicates this is an evolved schema. The table supports complex user lifecycle analysis with status-based filtering and type categorization.; This is a versioned table (v3) indicating it has undergone multiple schema iterations. The table supports complex user lifecycle analysis and is specifically filtered for PSP IDs 6,7,8,9 in the usage context, suggesting focus on specific payment service providers. The status filtering logic includes special handling for DORMANT users with comments, indicating nuanced business rules for user classification.","This table has strong relationships with account_snapshot_v3 (joined on user_id to id), and is commonly used with transaction tables like upi_flow_wise_base_cm for calculating user activity metrics. It serves as the primary user dimension table in UPI analytics, typically joined with account tables to get complete user-account relationships, and with transaction tables to derive usage patterns and MAU calculations. The table is central to user segmentation and lifecycle analysis workflows.; This table has strong relationships with account_snapshot_v3 table through user_id joins, and connects to payment transaction tables through customer_id for use case analysis. It serves as a central hub for user-related analytics, commonly joined with transaction tables, account tables, and payment flow tables. The table is frequently used in conjunction with time-series payment data to calculate MAU metrics and user engagement patterns across different business dimensions."
out,"data_description: The 'out' table contains aggregated UPI (Unified Payments Interface) transaction metrics organized by multiple dimensions including day, state, customer profile, and transaction flow categories. The table structure includes temporal data (day_id), geographical data (state), transaction categorization (p2m_p2p_flag for Peer-to-Peer vs Peer-to-Merchant, flow_category for detailed transaction types), and key business metrics (DAU for Daily Active Users, transaction counts, and transaction amounts). This appears to be a summary/aggregated table derived from detailed UPI transaction data combined with user engagement information.

business_description: This table supports UPI business analytics and monitoring by providing state-wise and flow-wise distribution of user activity and transaction volumes. It enables analysis of Monthly Active Users (MAU) distribution across different UPI profiles, helps identify geographical patterns in UPI adoption and usage, supports business intelligence reporting on P2P vs P2M transaction trends, and facilitates performance monitoring of UPI services across different states and transaction categories. The table is primarily used for executive dashboards, regional business analysis, and strategic decision-making related to UPI product development and market expansion.",Daily,UPI,day_id,"This appears to be a derived/output table created from complex ETL processes. The table name 'out' suggests it's likely a temporary or intermediate result table. Column details are not provided, but the SQL context indicates it contains aggregated metrics for UPI analytics.; This appears to be a derived/output table created through complex ETL processing. The table name 'out' suggests it's a temporary or intermediate result table. The SQL query shows incomplete structure, indicating potential data pipeline dependencies. The table is likely regenerated as part of a daily reporting process given the monthly active user calculations and current date references.; The table name ""out"" suggests this is likely a derived table, CTE, or temporary result set rather than a permanent physical table. The SQL context shows complex aggregations and joins from multiple source tables, indicating this is probably an analytical output table created for dashboard consumption. The incomplete column information suggests this might be a dynamically generated result set.; This appears to be a derived/output table from complex analytical queries rather than a source table. The empty table_columns field suggests this might be a temporary or intermediate result table. The SQL context shows sophisticated data processing involving multiple source tables and complex business logic for user segmentation and metric calculation.; This appears to be a derived/aggregated table created from a complex SQL query rather than a base table. The table name ""out"" suggests it might be a temporary output or view. The query involves multiple data sources and complex transformations including user lifecycle classification and geographical segmentation.; The table name 'out' suggests this is a temporary or derived output table from a larger analytical process. The minimal column structure (only customer_id and accounts count) indicates it serves as an intermediate aggregation step for more complex MAU calculations. The underlying queries show dependencies on account_snapshot_v3 and user_snapshot_v3 tables with specific PSP filtering.; This appears to be a derived/output table created from complex aggregations. The table name ""out"" suggests it's likely a temporary or intermediate result table. The SQL context shows filtering for specific Paytm UPI handles (paytm, ptyes, ptaxis, pthdfc, ptsbi) and successful transaction statuses, indicating this is focused on Paytm's UPI ecosystem performance.","This table is derived from multiple source tables including hive.cdo.fact_upi_transactions_snapshot_v3 (main UPI transaction facts) and hive.midgar.engage_data_snapshot_v3 (user engagement and profile data). The table serves as an aggregated layer that joins transaction data with user geographical information (popular_city, popular_state). It's commonly used in conjunction with other UPI analytics tables for comprehensive business reporting and is likely consumed by BI tools and dashboards for executive reporting on UPI performance metrics across different dimensions.; This table is derived from multiple upstream tables including hive.midgar.engage_data_snapshot_v3 (user engagement data), hive.cdo.fact_upi_transactions_snapshot_v3 (UPI transaction facts), and user lifecycle tables. It serves as an intermediate aggregation layer that combines user behavior, transaction data, and geographical information. The table is likely consumed by dashboard visualization tools and may feed into further analytical processes for UPI business intelligence and reporting.; This table is derived from multiple upstream tables including hive.midgar.engage_data_snapshot_v3 (for user profile data), hive.cdo.fact_upi_transactions_snapshot_v3 (for transaction data), and hive.user_paytm_payments.paytm_upi_mau_final (for user lifecycle data). It serves as an aggregated view that combines user engagement metrics with transaction data, commonly joined with other analytical tables for dashboard reporting and business intelligence purposes. The table is likely used in conjunction with other UPI analytics tables for comprehensive payment platform performance analysis.; This table is derived from joins between hive.tpap_pms.account_snapshot_v3 and hive.tpap_pms.user_snapshot_v3, filtering for specific PSP IDs (6, 7, 8, 9). It's commonly joined with use case tables (user_paytm_payments.upi_flow_wise_base_cm) to calculate MAU metrics. The table serves as an intermediate aggregation layer, typically used in combination with transaction data to analyze user lifecycle stages (active, dormant) and engagement patterns across different account profiles.; This table is derived from multiple source tables including hive.tpap_pms.account_snapshot_v3 (user account information), hive.tpap_pms.user_snapshot_v3 (user profile data), and user_paytm_payments.upi_flow_wise_base_cm (UPI transaction flows). It serves as an aggregated output table that consolidates user lifecycle information with transaction activity patterns. The table is typically joined with lifecycle and handle dimensions for reporting purposes and acts as a data mart for UPI user analytics dashboards.; This table is derived from multiple upstream tables including hive.midgar.engage_data_snapshot_v3 (for user demographics and location data), hive.cdo.fact_upi_transactions_snapshot_v3 (for transaction data), and hive.user_paytm_payments.paytm_upi_mau_final_nrr (for user lifecycle classification). It serves as a data mart table that consolidates information from these sources to provide a unified view for UPI analytics dashboards. The table is likely consumed by BI tools and reporting systems for state-wise UPI performance analysis.; This table is derived from multiple source tables including hive.midgar.engage_data_snapshot_v3 (for customer engagement data and geographical information) and hive.cdo.fact_upi_transactions_snapshot_v3 (for UPI transaction facts). It serves as an aggregated output feeding into UPI analytics dashboards. The table relationships include joins on customer_id fields and likely connects to other UPI-related tables for comprehensive payment flow analysis. It acts as an intermediate layer between raw transaction data and business intelligence reporting, specifically designed for P2P vs P2M comparative analysis."
hive.user_paytm_payments.upi_flow_wise_base_partitioned,"data_description: This table contains UPI transaction flow data partitioned by day, storing information about payer customer IDs and their associated transaction categories. The table tracks UPI payment flows with categorization into different use cases (final_category field), excluding generic 'Others' categories. It appears to be a fact table that captures daily UPI transaction activities with customer identification and transaction classification. The table supports time-based analysis with day_id as a key temporal dimension.

business_description: This table is used for UPI business intelligence and customer analytics, specifically for measuring Monthly Active Users (MAU) across different UPI use cases and customer lifecycle stages. It supports MAU distribution analysis by enabling comparisons between current month-to-date (MTD) and last month-to-date (LMTD) metrics. The table is crucial for understanding UPI adoption patterns, customer engagement across different payment use cases, and lifecycle-based segmentation for business strategy and product decisions.",Daily,UPI,day_id,"The table is explicitly named as ""partitioned"" and is used alongside a non-partitioned version (upi_flow_wise_base) and a current month version (upi_flow_wise_base_cm). The SQL context shows complex date filtering logic for MTD/LMTD comparisons, indicating this is a core analytics table for UPI performance measurement.",This table has a strong relationship with hive.cdo.fact_upi_customer_lifecycle_snapshot_v3 through customer_id/payer_cust_id joins for lifecycle analysis. It's also related to other variants like user_paytm_payments.upi_flow_wise_base (non-partitioned) and user_paytm_payments.upi_flow_wise_base_cm (current month). The table is commonly used in UNION operations with these related tables for comprehensive UPI flow analysis across different time periods and supports customer segmentation when joined with lifecycle data.
outt,"data_description: The `outt` table is a Common Table Expression (CTE) that consolidates UPI transaction data containing three key fields: day_id (transaction date), payer_cust_id (customer identifier), and final_category (UPI use case classification). It combines data from multiple UPI transaction tables (upi_flow_wise_base_partitioned and upi_flow_wise_base_cm) while filtering out generic 'Others' categories to focus on specific UPI use cases. The table covers date ranges designed for month-over-month MAU analysis.

business_description: This table supports UPI business analytics by enabling Monthly Active User (MAU) distribution analysis across different UPI use cases and customer lifecycle stages. It's used to track customer engagement patterns, measure use case adoption, and compare current month performance against previous months. The business relies on this data for understanding UPI product usage, customer segmentation, and identifying growth opportunities across various payment categories and customer lifecycle stages.",Daily,UPI,day_id,"This is a CTE (Common Table Expression) rather than a physical table, created dynamically during query execution. The actual table columns are not provided in the metadata, but based on the SQL context, it contains day_id, payer_cust_id, and final_category fields. The table combines data from multiple source tables to create a unified view for MAU analysis.","The `outt` CTE joins with the `nrr` CTE (which derives from hive.cdo.fact_upi_customer_lifecycle_snapshot_v3) through customer lifecycle data. It sources data from user_paytm_payments.upi_flow_wise_base_partitioned and user_paytm_payments.upi_flow_wise_base_cm tables, creating a unified dataset for UPI transaction analysis. This table is commonly used in conjunction with customer lifecycle tables to analyze MAU distributions across different UPI use cases and customer segments."
